brand,ats,identifier,url,verified_name,jobs,sg_jobs,needs_review
Goodwin Procter,greenhouse,goodwin,https://boards.greenhouse.io/goodwin,Goodwin,1,0,0
General Reinsurance,greenhouse,general,https://boards.greenhouse.io/general,General Interest,1,0,0
Korea Exchange,greenhouse,korea,https://boards.greenhouse.io/korea,SIE KOREA,1,0,0
Korea Investment Partners,greenhouse,korea,https://boards.greenhouse.io/korea,SIE KOREA,1,0,0
Korea Venture Investment,greenhouse,korea,https://boards.greenhouse.io/korea,SIE KOREA,1,0,0
Tetra Chemicals,greenhouse,tetra,https://boards.greenhouse.io/tetra,Tetra,1,0,0
Micron,workday,https://micron.wd1.myworkdayjobs.com/External,https://micron.wd1.myworkdayjobs.com/External,micron,2885,-1,0
Takeda,workday,https://takeda.wd3.myworkdayjobs.com/External,https://takeda.wd3.myworkdayjobs.com/External,takeda,1655,-1,0
AstraZeneca,workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers,https://astrazeneca.wd3.myworkdayjobs.com/Careers,astrazeneca,1408,-1,0
DBS Group,workday,https://dbs.wd3.myworkdayjobs.com/Dbs_Careers,https://dbs.wd3.myworkdayjobs.com/Dbs_Careers,dbs,1401,-1,0
Magna International,workday,https://magna.wd3.myworkdayjobs.com/Magna,https://magna.wd3.myworkdayjobs.com/Magna,magna,1277,-1,0
Analog Devices,workday,https://analogdevices.wd1.myworkdayjobs.com/External,https://analogdevices.wd1.myworkdayjobs.com/External,analogdevices,980,-1,1
GSK,workday,https://gsk.wd5.myworkdayjobs.com/GskCareers,https://gsk.wd5.myworkdayjobs.com/GskCareers,gsk,763,-1,0
Cigna,workday,https://cigna.wd5.myworkdayjobs.com/CignaCareers,https://cigna.wd5.myworkdayjobs.com/CignaCareers,cigna,624,-1,0
RR Donnelley,smartrecruiters,rrdonnelley,https://careers.smartrecruiters.com/rrdonnelley,RR Donnelley,568,0,0
SIA Partners,smartrecruiters,sia,https://careers.smartrecruiters.com/sia,Sia,550,0,0
Prudential,workday,https://prudential.wd3.myworkdayjobs.com/Prudential,https://prudential.wd3.myworkdayjobs.com/Prudential,prudential,548,-1,0
AIG,workday,https://aig.wd1.myworkdayjobs.com/Aig,https://aig.wd1.myworkdayjobs.com/Aig,aig,500,-1,0
Louis Dreyfus Company,smartrecruiters,louisdreyfuscompany,https://careers.smartrecruiters.com/louisdreyfuscompany,Louis Dreyfus Company,428,0,0
Avery Dennison,smartrecruiters,averydennison,https://careers.smartrecruiters.com/averydennison,Avery Dennison,410,0,0
Frasers Group,smartrecruiters,frasersgroup,https://careers.smartrecruiters.com/frasersgroup,Frasers Group,392,0,0
Dyson,workday,https://dyson.wd3.myworkdayjobs.com/Dyson_Careers,https://dyson.wd3.myworkdayjobs.com/Dyson_Careers,dyson,376,-1,0
Agilent Technologies,workday,https://agilent.wd5.myworkdayjobs.com/Agilent_Careers,https://agilent.wd5.myworkdayjobs.com/Agilent_Careers,agilent,296,-1,0
Western Digital,smartrecruiters,westerndigital,https://careers.smartrecruiters.com/westerndigital,Western Digital,281,0,0
Arista Networks,smartrecruiters,aristanetworks,https://careers.smartrecruiters.com/aristanetworks,Arista Networks,249,2,0
SHI International,workday,https://shi.wd12.myworkdayjobs.com/ShiCareers,https://shi.wd12.myworkdayjobs.com/ShiCareers,shi,209,-1,0
Rio Tinto,workday,https://riotinto.wd3.myworkdayjobs.com/Riotinto_Careers,https://riotinto.wd3.myworkdayjobs.com/Riotinto_Careers,riotinto,193,-1,1
Julius Baer,workday,https://juliusbaer.wd3.myworkdayjobs.com/External,https://juliusbaer.wd3.myworkdayjobs.com/External,juliusbaer,172,-1,1
AirAsia,workday,https://airasia.wd3.myworkdayjobs.com/Careers,https://airasia.wd3.myworkdayjobs.com/Careers,airasia,155,-1,0
Rimini Street,workday,https://riministreet.wd1.myworkdayjobs.com/Riministreet,https://riministreet.wd1.myworkdayjobs.com/Riministreet,riministreet,132,-1,1
Zoetis,workday,https://zoetis.wd5.myworkdayjobs.com/Zoetis,https://zoetis.wd5.myworkdayjobs.com/Zoetis,zoetis,103,-1,0
Zoom,workday,https://zoom.wd5.myworkdayjobs.com/Zoom,https://zoom.wd5.myworkdayjobs.com/Zoom,zoom,97,-1,0
Diageo,workday,https://diageo.wd3.myworkdayjobs.com/Diageo_Careers,https://diageo.wd3.myworkdayjobs.com/Diageo_Careers,diageo,90,-1,0
Santen Pharmaceutical,smartrecruiters,santen,https://careers.smartrecruiters.com/santen,Santen,72,1,0
FMC Technologies,workday,https://fmc.wd12.myworkdayjobs.com/Fmc,https://fmc.wd12.myworkdayjobs.com/Fmc,fmc,70,-1,0
ACS,workday,https://acs.wd5.myworkdayjobs.com/AcsCareers,https://acs.wd5.myworkdayjobs.com/AcsCareers,acs,63,-1,0
Wilsonart,workday,https://wilsonart.wd5.myworkdayjobs.com/Wilsonart_Careers,https://wilsonart.wd5.myworkdayjobs.com/Wilsonart_Careers,wilsonart,62,-1,0
